EEG 1,EEG 2,EEG 3,EEG 4,EEG 5,EEG 6,EEG 7,EEG 8,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator
5.748,5.214,0.249,-4.421,3.251,13.389,-3.382,-5.639,0.026,0.971,0.265,0.061,0.214,0.732,93.333,16567.000,1.000
3.699,4.041,-0.488,-1.729,9.974,14.299,4.051,1.401,0.026,0.970,0.265,0.153,0.214,0.732,93.333,16568.000,1.000
-1.462,2.331,-0.890,1.046,6.661,15.723,11.429,7.643,0.027,0.972,0.265,0.031,0.153,0.732,93.333,16569.000,1.000
-7.258,-6.286,-8.774,-4.557,-1.290,8.221,9.308,5.717,0.026,0.972,0.263,0.122,0.305,0.671,93.333,16570.000,1.000
-11.997,-16.040,-18.408,-12.082,-3.527,-2.404,3.675,1.578,0.027,0.971,0.268,0.183,0.244,0.793,93.333,16571.000,1.000
-17.544,-18.279,-19.965,-11.977,-3.065,-5.236,4.471,3.088,0.025,0.970,0.262,0.122,0.305,0.702,93.333,16572.000,1.000
-22.940,-14.711,-14.948,-7.322,-8.325,-2.419,9.254,6.618,0.026,0.971,0.263,0.092,0.275,0.671,93.333,16573.000,1.000
-22.122,-10.251,-9.401,-4.978,-12.937,-0.895,12.268,7.922,0.025,0.971,0.265,0.092,0.336,0.519,93.333,16574.000,1.000
-16.234,-6.613,-5.025,-4.672,-7.819,-1.691,12.817,8.983,0.025,0.975,0.264,0.153,0.275,0.427,93.333,16575.000,1.000
-13.271,-4.472,-0.962,-1.552,-0.037,-2.876,12.634,12.126,0.027,0.974,0.264,0.153,0.183,0.427,93.333,16576.000,1.000
-13.339,-3.438,2.985,5.056,0.827,-2.885,14.199,17.892,0.026,0.974,0.262,0.214,0.183,0.549,93.333,16577.000,1.000
-10.575,-2.367,5.952,10.173,-0.727,-1.954,16.631,24.865,0.025,0.974,0.263,0.214,0.275,0.427,93.333,16578.000,1.000
-4.098,-0.504,8.183,12.232,2.550,-1.425,15.583,29.307,0.024,0.972,0.265,0.092,0.275,0.488,93.333,16579.000,1.000
2.375,2.024,10.165,13.487,6.165,-1.156,10.675,27.892,0.024,0.972,0.263,0.122,0.275,0.275,93.333,16580.000,1.000
4.775,3.501,10.157,12.805,3.242,-0.619,5.966,21.180,0.024,0.972,0.261,0.061,0.214,0.305,93.333,16581.000,1.000
2.130,3.026,8.050,9.954,-2.149,-0.022,3.503,13.936,0.025,0.972,0.263,0.000,0.336,0.366,93.333,16582.000,1.000
-0.847,2.536,7.325,9.276,-2.259,0.595,1.039,9.619,0.024,0.972,0.263,0.183,0.305,0.244,93.333,16583.000,1.000
1.090,3.063,8.585,10.882,3.020,0.001,-4.994,5.753,0.024,0.972,0.262,0.153,0.305,0.244,93.333,16584.000,1.000
5.606,2.198,7.469,8.633,8.583,-3.609,-13.700,-0.077,0.023,0.974,0.263,0.061,0.183,0.183,93.333,16585.000,1.000
5.612,-0.802,2.995,2.580,10.561,-7.436,-16.858,-2.857,0.026,0.973,0.259,0.153,0.183,0.153,93.333,16586.000,1.000
